descripcion,categoria
SAGA FALABELLA AUT641073,Compras
DEB BATA,Compras
COMPRA JOCKEY PLAZA,Compras
TRANSF A TAXI DATUM,Transporte
IBERDROLA SEP,Servicios
SHEIN AUTORIZ 122096,Compras
MASSIMO DUTTI*063849,Compras
REF CHINA WOK,Alimentación
TRANSMILENIO AUTORIZ 341403,Transporte
COPA AIRLINES AUTORIZ 592127,Transporte
UBER EATS PROVIDENCIA,Alimentación
MASSIMO DUTTI OP775301,Compras
SHEIN LIMA,Compras
OSDE PREPAGA LIMA,Servicios
DAVIPLATA*DAMIÁN,Servicios
COMPRA AT&T MEXICO,Servicios
PAGO VARIOS AUTORIZ 592956,Otros
GASCO LATAM,Servicios
CENCOSUD LIMA,Compras
COSTANERA CENTER OP610044,Compras
DB LATAM AIRLINES,Transporte
COMPRA AMAZON PRIME VIDEO,Ocio
TICKETMASTER APROB377556,Ocio
UNIVERSIDAD ANDES AUT142770,Educación
COMPRA FRISBY,Alimentación
AUTOPISTA NORTE VISA,Transporte
PAGO VARIOS VISA,Otros
METRO SANTIAGO.COM,Transporte
D1 #675663,Alimentación
COD ENEX,Transporte
POS TOTTUS,Alimentación
ADMINISTRACION CONJUNTO RESIDENCIAL FEB,Vivienda
DEB ANALISIS CLINICOS UNIDOS,Salud
PULL BEAR LATAM,Compras
TRX CONSULTORIO DENTAL SONRIE,Salud
DOMINOS PIZZA LATAM,Alimentación
SEGUROS BOLIVAR LIMA,Servicios
MAPFRE SEGUROS.COM,Servicios
CHINA TOWN MIRAFLORES,Alimentación
DB OLIMPICA,Alimentación
SANTA FE MALL COD556845,Compras
TRX H&M,Compras
COMPRA AGUAS ANDINAS CONCEPCION,Servicios
SHEIN SAN ISIRDO,Compras
PAGO LATAM AIRLINES,Transporte
AGUAS ANDINAS DIC,Servicios
TOTTUS CO,Alimentación
FARMACIA INKAFARMA TIJUANA,Salud
ONLINE GAS NATURAL,Servicios
NINTENDO ESHOP SAN ISIDRO,Ocio
DEB APPLE.COM,Compras
YPF 31-10-2024,Transporte
COMPRA WEB SANITAS EPS,Servicios
LA REBAJA VIRTUAL PUEBLA,Salud
PAGO SERV WALMART,Alimentación
COURSERA MASTERCARD,Educación
CARGO ZARA,Compras
FARMACIA GUADALAJARA APROB172209,Salud
MAESTRO HOME CENTER SAN ISIDRO,Vivienda
COMPRA SORIANA,Alimentación
COMPRA CINE COLOMBIA VALPARAISO,Ocio
PLAZAS EXITO ROPA LATAM,Compras
RETIRO MCDONALDS,Alimentación
PLAZAS EXITO ROPA #317642,Compras
EPM AUT715571,Servicios
TRUPER FERRETERIA REF412275,Vivienda
CINEPLANET PERU,Ocio
PAGO ONLINE TICKETMASTER,Ocio
MERCADO PAGO*SARITA,Alimentación
DEBITO AUTOMATICO TRANSANTIAGO,Transporte
METRO DE LIMA CHILE,Transporte
TACO BELL MASTERCARD,Alimentación
METRO DE LIMA LATAM,Transporte
COMPRA POS AVIANCA,Transporte
RETIRO CAJERO LATAM,Otros
NRO OP 619365 CENCOSUD,Compras
PAGO TOTTUS CHILE,Alimentación
APP KARAOKE BOX,Ocio
MASSIMO DUTTI AUT963647,Compras
DEB TRANSMILENIO,Transporte
LABORATORIO CLINICO ROCHE AUT556419,Salud
COPEC COD935877,Transporte
DAVIPLATA*NOEMÍ,Alimentación
PARQUE ARAUCO OP852516,Compras
PAGO SERV CRISTAL,Alimentación
DB ANALISIS CLINICOS UNIDOS,Salud
MAPFRE SEGUROS APROB231564,Servicios
COMISION MANTENIMIENTO CUENTA TARJETA 8167,Servicios
SAGA FALABELLA.COM,Compras
COMPRA INTL JUAN VALDEZ,Alimentación
REPSOL LIMA,Transporte
NRO OP 790915 LA POSITIVA SEGUROS,Servicios
CREPES WAFFLES LATAM,Alimentación
PAGO CLINICA RICARDO PALMA,Salud
MERCADO PAGO*BASILIO,Alimentación
POLLERIA NORKYS OP932071,Alimentación
COMPRA TC BURGER KING,Alimentación
DB LA REBAJA VIRTUAL,Salud
SALCOBRAND REF494717,Salud
DB NIKE STORE,Compras
COMPRA TC DISCO,Alimentación
DEB BBEMBOS,Alimentación
FALABELLA LATAM,Compras
TECNOLOGICO DE MONTERREY VISA,Educación
ANALISIS CLINICOS UNIDOS STORE,Salud
ONLINE CODENSA,Servicios
ITUZAINGO PEAJE QR,Transporte
RETIRO CHINA WOK,Alimentación
DAVIPLATA*XIMENA,Servicios
AMZN MKTPLACE TOLUCA,Compras
DIA MASTERCARD,Alimentación
WEB DISCOTECA CLUB,Ocio
ADIDAS STORE JUL,Compras
POS DIDI FOOD,Alimentación
SURA SEGUROS APROB110964,Servicios
EDENOR COD403576,Servicios
LIBRERIA GANDHI COLOMBIA,Educación
EL CORRAL OP106875,Alimentación
YAPE*CRESCENCIA,Alimentación
DISNEY PLUS REF060260,Ocio
COMPRA INTL TEMU,Compras
ONLINE FARMACIAS DEL AHORRO,Salud
DB FARMACIAS DEL AHORRO,Salud
WEB FALABELLA,Compras
COMPRA GYM SMARTFIT,Ocio
ALIEXPRESS 02AUG,Compras
PALACIO DE HIERRO STORE,Compras
MAESTRO HOME CENTER PE,Vivienda
MERCADO PAGO*EZEQUIEL,Servicios
MAPFRE SEGUROS LATAM,Servicios
PAGO SERV TELMEX INTERNET,Servicios
DIDI FOOD COD291959,Alimentación
PAGO SERV EDENOR,Servicios
FARMACIAS DEL AHORRO LATAM,Salud
ITUZAINGO PEAJE.COM,Transporte
LA POSITIVA SEGUROS PERU,Servicios
AMAZON 07MAR,Compras
GYM SMARTFIT OP855737,Ocio
DEB ESTACIONAMIENTO,Transporte
HOSPITAL ANGELES LATA,Salud
ONLINE CENTRO MEDICO SAN FELIPE,Salud
DEBITO AUTOMATICO OPTICA LA INES,Salud
JOCKEY PLAZA APROB460419,Compras
DB PAGO ARRIENDO,Vivienda
NEQUI*YAIZA 008002,Alimentación
PAGO LIVERPOOL,Compras
TRANSF A BEMBOS,Alimentación
DEBITO AUTOMATICO LA POLAR,Compras
